0
2001
# eps (GeV/fm^3)  P (GeV/fm^3)      s (fm^-3)      n_b (fm^-3)      x                T (GeV)       mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
   0.0            0.0              0.0            0.0            0.0               0.0            0.0            0.0              0.0                       0.0
   0.0950000000   0.0154565152     0.8458359095   0.0000000000   0.0000000000	   0.1130813508   0.0000000000   0.0000000000	  0.17006545419618163        2.8536519269446874     
   0.0970000000   0.0157967480     0.8611277873  -0.0000000000   0.0000000000	   0.1137773360   0.0000000000   0.0000000000	  0.17016793312150705        2.8936035156634872     
   0.0990000000   0.0161371892     0.8763735916  -0.0000000000   0.0000000000	   0.1144638368   0.0000000000   0.0000000000	  0.17027383677213942        2.9330521002286325     
   0.1010000000   0.0164778455     0.8915743660   0.0000000000   0.0000000000	   0.1151412219   0.0000000000   0.0000000000	  0.17038303953599004        2.9720126684156964     
   0.1030000000   0.0168187234     0.9067311085  -0.0000000000   0.0000000000	   0.1158098378   0.0000000000   0.0000000000	  0.17049541524335518        3.0104998231340963     
   0.1050000000   0.0171598291     0.9218447750  -0.0000000000   0.0000000000	   0.1164700100   0.0000000000   0.0000000000	  0.17061083811249902        3.0485277621986708     
   0.1070000000   0.0175011686     0.9369162816   0.0000000000   0.0000000000	   0.1171220455   0.0000000000   0.0000000000	  0.17072918313181520        3.0861103024985534     
   0.1090000000   0.0178427476     0.9519465070  -0.0000000000   0.0000000000	   0.1177662333   0.0000000000   0.0000000000	  0.17085032670395148        3.1232608685173631     
   0.1110000000   0.0181845716     0.9669362947   0.0000000000   0.0000000000	   0.1184028463   0.0000000000   0.0000000000	  0.17097414706313230        3.1599924947258087     
   0.1130000000   0.0185266459     0.9818864549   0.0000000000   0.0000000000	   0.1190321423   0.0000000000   0.0000000000	  0.17110052456356986        3.1963178357183608     
   0.1150000000   0.0188689753     0.9967977668  -0.0000000000   0.0000000000	   0.1196543651   0.0000000000   0.0000000000	  0.17122934197032144        3.2322491675685354     
   0.1170000000   0.0192115647     1.0116709799   0.0000000000   0.0000000000	   0.1202697453   0.0000000000   0.0000000000	  0.17136048466541001        3.2677983952996494     
   0.1190000000   0.0195544186     1.0265068155   0.0000000000   0.0000000000	   0.1208785015   0.0000000000   0.0000000000	  0.17149384082435432        3.3029770578921007     
   0.1210000000   0.0198975414     1.0413059692   0.0000000000   0.0000000000	   0.1214808410   0.0000000000   0.0000000000	  0.17162930145607952        3.3377963419524330     
   0.1230000000   0.0202409371     1.0560691110  -0.0000000000   0.0000000000	   0.1220769605   0.0000000000   0.0000000000	  0.17176676064177315        3.3722670772734258     
   0.1250000000   0.0205846096     1.0707968872   0.0000000000   0.0000000000	   0.1226670471   0.0000000000   0.0000000000	  0.17190611547350793        3.4063997532079706     
   0.1270000000   0.0209285627     1.0854899219   0.0000000000   0.0000000000	   0.1232512783   0.0000000000   0.0000000000	  0.17204726617546548        3.4402045194614006     
   0.1290000000   0.0212727998     1.1001488175   0.0000000000   0.0000000000	   0.1238298234   0.0000000000   0.0000000000	  0.17219011602460771        3.4736912037097367     
   0.1310000000   0.0216173242     1.1147741564  -0.0000000000   0.0000000000	   0.1244028433   0.0000000000   0.0000000000	  0.17233457138881306        3.5068693154463588     
   0.1330000000   0.0219621390     1.1293665016   0.0000000000   0.0000000000	   0.1249704915   0.0000000000   0.0000000000	  0.17248054179320832        3.5397480457178565     
   0.1350000000   0.0223072472     1.1439263976   0.0000000000   0.0000000000	   0.1255329146   0.0000000000   0.0000000000	  0.17262793973899682        3.5723362911549117     
   0.1370000000   0.0226526516     1.1584543715   0.0000000000   0.0000000000	   0.1260902522   0.0000000000   0.0000000000	  0.17277668077869085        3.6046426503456699     
   0.1390000000   0.0229983547     1.1729509339   0.0000000000   0.0000000000	   0.1266426378   0.0000000000   0.0000000000	  0.17292668340153669        3.6366754399459023     
   0.1410000000   0.0233443590     1.1874165792  -0.0000000000   0.0000000000	   0.1271901992   0.0000000000   0.0000000000	  0.17307786903011663        3.6684426967757453     
   0.1430000000   0.0236906668     1.2018517868   0.0000000000   0.0000000000	   0.1277330583   0.0000000000   0.0000000000	  0.17323016194369145        3.6999521882122766     
   0.1450000000   0.0240372803     1.2162570214   0.0000000000   0.0000000000	   0.1282713321   0.0000000000   0.0000000000	  0.17338348920764035        3.7312114209925102     
   0.1470000000   0.0243842014     1.2306327342  -0.0000000000   0.0000000000	   0.1288051324   0.0000000000   0.0000000000	  0.17353778060763983        3.7622276499649736     
   0.1490000000   0.0247314319     1.2449793628  -0.0000000000   0.0000000000	   0.1293345667   0.0000000000   0.0000000000	  0.17369296858718739        3.7930078839371557     
   0.1510000000   0.0250789737     1.2592973323  -0.0000000000   0.0000000000	   0.1298597378   0.0000000000   0.0000000000	  0.17384898817232630        3.8235588948242185     
   0.1530000000   0.0254268283     1.2735870555  -0.0000000000   0.0000000000	   0.1303807444   0.0000000000   0.0000000000	  0.17400577688549734        3.8538872266437618     
